No.,Time,Source,Destination,Protocol,Length,Type,Duration
26854,754.686935,10.8.0.61,147.32.83.234,TCP,60,out,0.000000 
26855,754.708988,147.32.83.234,10.8.0.61,TCP,60,in,0.022053 
26856,754.715689,10.8.0.61,147.32.83.234,TCP,52,out,0.006701 
26857,756.106663,10.8.0.61,147.32.83.234,TCP,1401,out,1.390974 
26858,756.106703,10.8.0.1,10.8.0.61,ICMP,576,in,0.000040 
26859,756.107989,10.8.0.61,147.32.83.234,TCP,1401,out,0.001286 
26860,756.108015,10.8.0.1,10.8.0.61,ICMP,576,in,0.000026 
26861,756.108039,10.8.0.61,147.32.83.234,TCP,328,out,0.000024 
26862,756.109076,147.32.83.234,10.8.0.61,TCP,64,in,0.001037 
26863,756.111395,10.8.0.61,147.32.83.234,TCP,1400,out,0.002319 
26864,756.111769,10.8.0.61,147.32.83.234,TCP,1400,out,0.000374 
26865,756.111995,10.8.0.61,147.32.83.234,TCP,54,out,0.000226 
26866,756.11275,147.32.83.234,10.8.0.61,TCP,64,in,0.000755 
26867,756.112766,147.32.83.234,10.8.0.61,TCP,64,in,0.000016 
26868,756.112788,147.32.83.234,10.8.0.61,TCP,52,in,0.000022 
26869,758.227124,147.32.83.234,10.8.0.61,TCP,59,in,2.114336 
26870,758.316469,10.8.0.61,147.32.83.234,TCP,52,out,0.089345 
26871,761.153449,10.8.0.61,147.32.83.234,TCP,1400,out,2.836980 
26872,761.154519,10.8.0.61,147.32.83.234,TCP,1400,out,0.001070 
26873,761.154575,10.8.0.61,147.32.83.234,TCP,283,out,0.000056 
26874,761.155582,147.32.83.234,10.8.0.61,TCP,52,in,0.001007 
26875,761.257071,10.8.0.61,147.32.83.234,TCP,88,out,0.101489 
26876,761.460683,147.32.83.234,10.8.0.61,TCP,52,in,0.203612 
26877,761.481741,10.8.0.61,147.32.83.234,TCP,88,out,0.021058 
26878,761.482756,147.32.83.234,10.8.0.61,TCP,64,in,0.001015 
26879,770.2263,147.32.83.234,10.8.0.61,TCP,59,in,8.743544 
26880,770.297573,10.8.0.61,147.32.83.234,TCP,52,out,0.071273 
26881,770.829631,10.8.0.61,147.32.83.234,TCP,88,out,0.532058 
26882,771.038863,147.32.83.234,10.8.0.61,TCP,52,in,0.209232 
26883,771.113482,10.8.0.61,147.32.83.234,TCP,88,out,0.074619 
26884,771.114831,147.32.83.234,10.8.0.61,TCP,64,in,0.001349 
26885,782.226144,147.32.83.234,10.8.0.61,TCP,59,in,11.111313 
26886,782.285336,10.8.0.61,147.32.83.234,TCP,52,out,0.059192 
26887,782.421768,10.8.0.61,147.32.83.234,TCP,88,out,0.136432 
26888,782.632504,147.32.83.234,10.8.0.61,TCP,52,in,0.210736 
26889,794.273331,147.32.83.234,10.8.0.61,TCP,59,in,11.640827 
26890,794.362138,10.8.0.61,147.32.83.234,TCP,52,out,0.088807 
26891,795.173123,10.8.0.61,147.32.83.234,TCP,88,out,0.810985 
26892,795.382301,147.32.83.234,10.8.0.61,TCP,52,in,0.209178 
26893,806.273336,147.32.83.234,10.8.0.61,TCP,59,in,10.891035 
26894,806.343592,10.8.0.61,147.32.83.234,TCP,52,out,0.070256 
26895,808.893489,10.8.0.61,147.32.83.234,TCP,88,out,2.549897 
26896,809.101356,147.32.83.234,10.8.0.61,TCP,52,in,0.207867 
26897,818.295237,147.32.83.234,10.8.0.61,TCP,59,in,9.193881 
26898,818.426884,10.8.0.61,147.32.83.234,TCP,52,out,0.131647 
26899,821.284377,10.8.0.61,147.32.83.234,TCP,1400,out,2.857493 
26900,821.285628,10.8.0.61,147.32.83.234,TCP,1400,out,0.001251 
26901,821.28568,10.8.0.61,147.32.83.234,TCP,283,out,0.000052 
26902,821.286663,147.32.83.234,10.8.0.61,TCP,52,in,0.000983 
26903,821.287628,147.32.83.234,10.8.0.61,TCP,52,in,0.000965 
26904,823.412943,10.8.0.61,147.32.83.234,TCP,88,out,2.125315 
26905,823.616339,147.32.83.234,10.8.0.61,TCP,52,in,0.203396 
26906,830.332531,147.32.83.234,10.8.0.61,TCP,59,in,6.716192 
26907,830.40912,10.8.0.61,147.32.83.234,TCP,52,out,0.076589 
26908,838.795458,10.8.0.61,147.32.83.234,TCP,88,out,8.386338 
26909,839.007335,147.32.83.234,10.8.0.61,TCP,52,in,0.211877 
26910,842.320607,147.32.83.234,10.8.0.61,TCP,59,in,3.313272 
26911,842.396284,10.8.0.61,147.32.83.234,TCP,52,out,0.075677 
26917,854.320802,147.32.83.234,10.8.0.61,TCP,59,in,11.924518 
26918,854.343824,10.8.0.61,147.32.83.234,TCP,88,out,0.023022 
26919,854.347222,10.8.0.61,147.32.83.234,TCP,52,out,0.003398 
26920,854.554435,147.32.83.234,10.8.0.61,TCP,52,in,0.207213 
