Source,Destination,Protocol,Length,Type,Duration,Label
33952,443,1,60,0,0,Benign
443,33952,1,60,1,0.000884,Benign
33952,443,1,52,0,0.001839,Benign
33952,443,3,452,0,0.001,Benign
443,33952,1,52,1,0.000723,Benign
443,33952,3,268,1,0.000592,Benign
443,33952,3,126,1,0.000017,Benign
33952,443,1,52,0,0.00096,Benign
33952,443,1,52,0,0.000055,Benign
33952,443,3,142,0,0.000649,Benign
443,33952,3,217,1,0.000778,Benign
33952,443,1,52,0,0.040171,Benign
33952,443,1,1401,0,0.017435,Benign
443,33952,5,576,1,0.000038,Benign
33952,443,3,1295,0,0.000025,Benign
33952,443,3,83,0,0.000327,Benign
443,33952,1,64,1,0.000404,Benign
443,33952,1,64,1,0.000324,Benign
33952,443,1,1400,0,0.000119,Benign
33952,443,1,1296,0,0.000052,Benign
443,33952,1,64,1,0.000687,Benign
443,33952,1,52,1,0.000015,Benign
443,33952,3,96,1,0.000405,Benign
33952,443,1,52,0,0.000773,Benign
33952,443,3,1045,0,0.068037,Benign
443,33952,3,87,1,0.001044,Benign
33952,443,1,52,0,0.003127,Benign
33952,443,3,370,0,0.329657,Benign
443,33952,3,87,1,0.001038,Benign
33952,443,1,52,0,0.001629,Benign
33952,443,1,1400,0,0.041149,Benign
33952,443,3,696,0,0.000059,Benign
443,33952,1,52,1,0.000734,Benign
443,33952,3,87,1,0.000247,Benign
33952,443,1,52,0,0.000914,Benign
33952,443,3,142,0,0.005925,Benign
443,33952,3,87,1,0.000947,Benign
33952,443,1,1400,0,0.001654,Benign
33952,443,3,1400,0,0.000061,Benign
33952,443,1,1400,0,0.000188,Benign
33952,443,1,1400,0,0.000474,Benign
443,33952,1,52,1,0.000045,Benign
33952,443,3,857,0,0.000372,Benign
33952,443,1,1400,0,0.000209,Benign
443,33952,1,52,1,0.000046,Benign
33952,443,3,1400,0,0.000421,Benign
33952,443,1,1400,0,0.000058,Benign
443,33952,1,52,1,0.000173,Benign
33952,443,1,1400,0,0.000363,Benign
443,33952,1,52,1,0.000203,Benign
33952,443,3,857,0,0.000355,Benign
33952,443,1,1400,0,0.000058,Benign
33952,443,3,1400,0,0.000127,Benign
33952,443,3,890,0,0.000465,Benign
443,33952,1,52,1,0.000136,Benign
443,33952,1,52,1,0.000083,Benign
443,33952,1,52,1,0.041105,Benign
443,33952,3,203,1,0.111536,Benign
443,33952,1,1400,1,0.00075,Benign
443,33952,1,53,1,0.000032,Benign
443,33952,1,1400,1,0.002415,Benign
443,33952,1,1400,1,0.000009,Benign
443,33952,3,63,1,0.000002,Benign
443,33952,3,75,1,0.000008,Benign
443,33952,3,797,1,0.000004,Benign
443,33952,3,783,1,0.018948,Benign
443,33952,3,75,1,0.000019,Benign
443,33952,1,1400,1,0.000004,Benign
443,33952,3,1400,1,0.000044,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,3,487,1,0.000002,Benign
443,33952,1,1400,1,0.000011,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.00002,Benign
443,33952,3,125,1,0.000002,Benign
443,33952,1,1400,1,0.000009,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,3,1153,1,0.00013,Benign
443,33952,1,1400,1,0.00001,Benign
443,33952,3,126,1,0.000001,Benign
443,33952,1,1400,1,0.034041,Benign
443,33952,1,1400,1,0.111031,Benign
443,33952,1,1400,1,0.224033,Benign
33952,443,1,64,0,0.088505,Benign
33952,443,1,64,0,0.000358,Benign
33952,443,1,64,0,0.000247,Benign
33952,443,1,64,0,0.000055,Benign
33952,443,1,64,0,0.000032,Benign
33952,443,1,64,0,0.00003,Benign
33952,443,1,64,0,0.000029,Benign
443,33952,1,1400,1,0.000024,Benign
443,33952,1,1400,1,0.000004,Benign
33952,443,1,64,0,0,Benign
443,33952,3,64,1,0.000001,Benign
443,33952,3,1400,1,0.000005,Benign
33952,443,1,64,0,0.000022,Benign
443,33952,3,1400,1,0.000019,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,3,251,1,0.000002,Benign
33952,443,1,64,0,0.000004,Benign
443,33952,1,1400,1,0.000003,Benign
443,33952,3,126,1,0.000002,Benign
33952,443,1,64,0,0.000082,Benign
33952,443,1,64,0,0.000132,Benign
33952,443,1,64,0,0.000033,Benign
33952,443,1,64,0,0.000029,Benign
443,33952,3,865,1,0.000251,Benign
33952,443,1,64,0,0.000296,Benign
33952,443,1,64,0,0.000939,Benign
33952,443,1,64,0,0.000276,Benign
33952,443,1,64,0,0.000281,Benign
33952,443,1,64,0,0.000049,Benign
33952,443,1,64,0,0.000249,Benign
33952,443,1,64,0,0.000048,Benign
33952,443,1,64,0,0.000043,Benign
33952,443,1,64,0,0.000068,Benign
33952,443,1,72,0,0.000156,Benign
33952,443,1,72,0,0.000222,Benign
33952,443,1,72,0,0.000046,Benign
33952,443,1,64,0,0.000037,Benign
33952,443,1,64,0,0.000034,Benign
33952,443,1,64,0,0.000181,Benign
33952,443,1,64,0,0.000042,Benign
33952,443,1,64,0,0.00015,Benign
33952,443,1,64,0,0.000041,Benign
33952,443,1,64,0,0.000147,Benign
33952,443,1,64,0,0.00011,Benign
33952,443,1,64,0,0.000407,Benign
33952,443,1,64,0,0.000232,Benign
33952,443,1,52,0,0.000058,Benign
33952,443,1,60,0,0.256652,Benign
443,33952,1,60,1,0.000718,Benign
33952,443,1,52,0,0.000935,Benign
33952,443,1,60,0,0.000052,Benign
33952,443,3,274,0,0.000593,Benign
443,33952,1,60,1,0.000201,Benign
443,33952,1,52,1,0.000447,Benign
33952,443,1,52,0,0.001106,Benign
443,33952,3,1400,1,0.000223,Benign
443,33952,3,1400,1,0.000087,Benign
443,33952,3,442,1,0.000004,Benign
443,33952,3,533,1,0.00034,Benign
443,33952,3,238,1,0.00001,Benign
443,33952,1,1400,1,0.000012,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,3,400,1,0.000026,Benign
443,33952,1,1400,1,0.000008,Benign
443,33952,3,424,1,0.000001,Benign
443,33952,1,1400,1,0.000125,Benign
443,33952,3,226,1,0.000003,Benign
443,33952,1,1400,1,0.000011,Benign
443,33952,3,1330,1,0.000002,Benign
443,33952,1,1400,1,0.000042,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,125,1,0.000001,Benign
443,33952,1,1400,1,0.000096,Benign
443,33952,3,1400,1,0.000003,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000098,Benign
443,33952,3,167,1,0.000003,Benign
443,33952,1,1400,1,0.000009,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,125,1,0.000001,Benign
33952,443,1,52,0,0.000065,Benign
33952,443,1,52,0,0.000032,Benign
443,33952,1,1400,1,0.000069,Benign
443,33952,3,1190,1,0.000002,Benign
443,33952,1,1400,1,0.000007,Benign
443,33952,3,126,1,0.000002,Benign
33952,443,1,52,0,0.000589,Benign
33952,443,1,52,0,0.000238,Benign
33952,443,1,52,0,0.000044,Benign
33952,443,1,52,0,0.000028,Benign
33952,443,1,52,0,0.000025,Benign
