No.,Time,Source,Destination,Protocol,Length,Type,Duration
54650,361.75306,10.8.0.57,147.32.83.253,TCP,60,out,0.000000 
54651,361.753766,147.32.83.253,10.8.0.57,TCP,40,in,0.000706 
54652,362.796143,10.8.0.57,147.32.83.253,TCP,60,out,1.042377 
54653,362.796971,147.32.83.253,10.8.0.57,TCP,40,in,0.000828 
54654,363.849613,10.8.0.57,147.32.83.253,TCP,60,out,1.052642 
54655,363.850311,147.32.83.253,10.8.0.57,TCP,40,in,0.000698 
54656,364.885189,10.8.0.57,147.32.83.253,TCP,60,out,1.034878 
54657,364.885966,147.32.83.253,10.8.0.57,TCP,40,in,0.000777 
54661,365.923098,10.8.0.57,147.32.83.253,TCP,60,out,1.037132 
54662,365.923726,147.32.83.253,10.8.0.57,TCP,40,in,0.000628 
54663,366.960414,10.8.0.57,147.32.83.253,TCP,60,out,1.036688 
54664,366.96088,147.32.83.253,10.8.0.57,TCP,40,in,0.000466 
54665,368.004128,10.8.0.57,147.32.83.253,TCP,60,out,1.043248 
54666,368.004764,147.32.83.253,10.8.0.57,TCP,52,in,0.000636 
54667,368.011528,10.8.0.57,147.32.83.253,TCP,40,out,0.006764 
54668,368.0214,147.32.83.253,10.8.0.57,TCP,46,in,0.009872 
54669,368.028569,10.8.0.57,147.32.83.253,TCP,40,out,0.007169 
54670,368.046504,10.8.0.57,147.32.83.253,TCP,104,out,0.017935 
54671,368.109959,147.32.83.253,10.8.0.57,TCP,40,in,0.063455 
54746,376.083657,147.32.83.253,10.8.0.57,TCP,45,in,7.973698 
54747,376.13225,10.8.0.57,147.32.83.253,TCP,45,out,0.048593 
54748,376.169282,10.8.0.57,147.32.83.253,TCP,40,out,0.037032 
54749,376.174785,147.32.83.253,10.8.0.57,TCP,40,in,0.005503 
54753,381.668553,10.8.0.57,147.32.83.253,UDP,62,out,5.493768 
54754,384.201825,10.8.0.57,147.32.83.253,TCP,45,out,2.533272 
54755,384.202607,147.32.83.253,10.8.0.57,TCP,45,in,0.000782 
54756,384.206629,10.8.0.57,147.32.83.253,TCP,40,out,0.004022 
54757,392.2124,10.8.0.57,147.32.83.253,TCP,45,out,8.005771 
54758,392.260417,147.32.83.253,10.8.0.57,TCP,40,in,0.048017 
54759,392.479,147.32.83.253,10.8.0.57,TCP,45,in,0.218583 
54760,392.563695,10.8.0.57,147.32.83.253,TCP,40,out,0.084695 
54767,400.217263,10.8.0.57,147.32.83.253,TCP,45,out,7.653568 
54768,400.260622,147.32.83.253,10.8.0.57,TCP,40,in,0.043359 
54769,400.729487,147.32.83.253,10.8.0.57,TCP,45,in,0.468865 
54770,400.852308,10.8.0.57,147.32.83.253,TCP,40,out,0.122821 
54771,401.711725,10.8.0.57,147.32.83.253,UDP,62,out,0.859417 
54773,408.345446,10.8.0.57,147.32.83.253,TCP,45,out,6.633721 
54774,408.401814,147.32.83.253,10.8.0.57,TCP,40,in,0.056368 
54775,408.860022,147.32.83.253,10.8.0.57,TCP,45,in,0.458208 
54776,408.946711,10.8.0.57,147.32.83.253,TCP,40,out,0.086689 
54777,416.441512,10.8.0.57,147.32.83.253,TCP,45,out,7.494801 
54778,416.49482,147.32.83.253,10.8.0.57,TCP,40,in,0.053308 
54779,416.948474,147.32.83.253,10.8.0.57,TCP,45,in,0.453654 
54780,417.041517,10.8.0.57,147.32.83.253,TCP,40,out,0.093043 
54781,421.732351,10.8.0.57,147.32.83.253,UDP,62,out,4.690834 
54782,424.50491,10.8.0.57,147.32.83.253,TCP,45,out,2.772559 
54783,424.557626,147.32.83.253,10.8.0.57,TCP,40,in,0.052716 
54784,425.022777,147.32.83.253,10.8.0.57,TCP,45,in,0.465151 
54785,425.126917,10.8.0.57,147.32.83.253,TCP,40,out,0.104140 
54786,427.78387,147.32.83.253,10.8.0.57,TCP,70,in,2.656953 
54787,427.889945,10.8.0.57,147.32.83.253,TCP,40,out,0.106075 
54797,428.847993,10.8.0.57,147.32.83.253,TCP,65,out,0.958048 
54798,428.900995,147.32.83.253,10.8.0.57,TCP,40,in,0.053002 
54799,429.914474,10.8.0.57,147.32.83.253,TCP,60,out,1.013479 
54800,429.915308,147.32.83.253,10.8.0.57,TCP,52,in,0.000834 
54801,429.923455,10.8.0.57,147.32.83.253,TCP,40,out,0.008147 
