No.,Time,Source,Destination,Protocol,Length,Type,Duration
36901,457.4219 ,10.8.0.93,147.32.83.181,TCP,60,out,0.000000 
36902,457.4226 ,147.32.83.181,10.8.0.93,TCP,60,in,0.000680 
36903,457.4238 ,10.8.0.93,147.32.83.181,TCP,52,out,0.001186 
36908,458.4804 ,10.8.0.93,147.32.83.181,TCP,171,out,1.056576 
36909,458.6840 ,10.8.0.93,147.32.83.181,TCP,171,out,0.203636 
36910,458.6844 ,147.32.83.181,10.8.0.93,TCP,64,in,0.000439 
36911,458.8968 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.212377 
36912,458.8984 ,10.8.0.93,147.32.83.181,TCP,52,out,0.001574 
36913,458.8992 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000828 
36914,458.8995 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000260 
36915,458.9007 ,10.8.0.93,147.32.83.181,TCP,64,out,0.001186 
36916,458.9007 ,10.8.0.93,147.32.83.181,TCP,64,out,0.000057 
36917,458.9017 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.001036 
36918,458.9019 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000114 
36919,458.9031 ,10.8.0.93,147.32.83.181,TCP,64,out,0.001243 
36920,458.9033 ,10.8.0.93,147.32.83.181,TCP,64,out,0.000213 
36921,458.9036 ,147.32.83.181,10.8.0.93,TCP,228,in,0.000256 
36922,458.9045 ,10.8.0.93,147.32.83.181,TCP,64,out,0.000929 
36923,458.9055 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000955 
36924,458.9055 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000058 
36925,458.9057 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000208 
36926,458.9057 ,147.32.83.181,10.8.0.93,TCP,579,in,0.000009 
36927,458.9068 ,10.8.0.93,147.32.83.181,TCP,52,out,0.001023 
36928,458.9070 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000227 
36929,458.9070 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000049 
36930,458.9073 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000292 
36931,458.9128 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.005498 
36932,458.9129 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000080 
36933,458.9132 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000257 
36934,458.9132 ,147.32.83.181,10.8.0.93,TCP,925,in,0.000009 
36935,458.9143 ,10.8.0.93,147.32.83.181,TCP,52,out,0.001116 
36936,458.9143 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000054 
36937,458.9144 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000032 
36938,458.9148 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000455 
36939,458.9288 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.013966 
36940,458.9290 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000160 
36941,458.9292 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000245 
36942,458.9292 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000009 
36943,458.9293 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000109 
36944,458.9302 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000921 
36945,458.9303 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000057 
36946,458.9307 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000434 
36947,458.9308 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000058 
36948,458.9313 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000475 
36949,458.9314 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000134 
36950,458.9315 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000091 
36951,458.9316 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000131 
36952,458.9316 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000009 
36953,458.9318 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000127 
36954,458.9324 ,147.32.83.181,10.8.0.93,TCP,572,in,0.000625 
36955,458.9327 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000349 
36956,458.9330 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000321 
36957,458.9331 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000058 
36958,458.9333 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000196 
36959,458.9336 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000308 
36960,458.9339 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000311 
36961,458.9436 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.009674 
36962,458.9436 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000046 
36963,458.9439 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000245 
36964,458.9440 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000148 
36965,458.9440 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000007 
36966,458.9442 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000198 
36967,458.9445 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000225 
36968,458.9450 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000497 
36969,458.9452 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000212 
36970,458.9452 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000049 
36971,458.9456 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000341 
36972,458.9456 ,147.32.83.181,10.8.0.93,TCP,1095,in,0.000057 
36973,458.9459 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000281 
36974,458.9461 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000243 
36975,458.9464 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000263 
36976,458.9471 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000731 
36977,458.9592 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.012112 
36978,458.9593 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000087 
36979,458.9596 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000247 
36980,458.9597 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000137 
36981,458.9597 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000008 
36982,458.9599 ,147.32.83.181,10.8.0.93,TCP,797,in,0.000218 
36983,458.9606 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000680 
36984,458.9610 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000342 
36985,458.9610 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000057 
36986,458.9612 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000169 
36987,458.9615 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000308 
36988,458.9619 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000356 
36989,458.9750 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.013174 
36990,458.9751 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000063 
36991,458.9754 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000287 
36992,458.9754 ,147.32.83.181,10.8.0.93,TCP,733,in,0.000010 
36993,458.9765 ,10.8.0.93,147.32.83.181,TCP,52,out,0.001144 
36994,458.9767 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000200 
36995,458.9768 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000056 
36996,458.9768 ,10.8.0.93,147.32.83.181,TCP,52,out,0.000034 
36997,458.9908 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.013986 
36998,458.9909 ,147.32.83.181,10.8.0.93,TCP,1400,in,0.000043 
