total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
2217,993,158.3571429,165.5,0.534560643,0.5021735,10.49689
704,757,64,84.11111111,4.531191909,5.064115667,95.420152
555,532,55.5,53.2,10.8981632,4.3171529,152.153161
742,378,53,63,6.5037385,3.231654833,110.442268
6001,1556,545.5454545,172.8888889,1.026273818,6.662169889,71.248541
2153,1045,165.6153846,149.2857143,0.118072231,0.058974,1.947757
555,812,55.5,81.2,7.4964943,4.11955,116.160443
633,758,63.3,68.90909091,6.0886212,3.545336,89.667757
4436,471,369.6666667,58.875,6.266031917,2.392116875,94.329318
853,217,53.3125,54.25,4.929131875,3.90058925,94.468467
4570,508,380.8333333,63.5,4.184390417,4.225012625,84.012786
1562,641,173.5555556,58.27272727,8.441892444,6.549571636,148.02232
6008,1622,546.1818182,180.2222222,2.611064818,0.210755222,30.61851
4792,540,368.6153846,77.14285714,4.398488,4.701446,90.090466
18200,364,1400,52,0.000222692,0.000210286,0.004367
18200,364,1400,52,0.000252231,0.000224857,0.004853
19600,312,1400,52,0.000277786,0.000137833,0.004716
8792,471,799.2727273,52.33333333,0.513871727,0.149289667,6.996196
18200,364,1400,52,0.000197,0.000245571,0.00428
18200,364,1400,52,0.000232538,0.000224429,0.004594
18200,364,1400,52,0.000162846,0.000385714,0.004817
19600,312,1400,52,0.000189071,0.000329833,0.004626
7316,468,665.0909091,52,0.699906182,0.000281667,7.701503
18196,364,1399.692308,52,0.000237,0.436016571,3.055197
19600,312,1400,52,0.000253,0.0002155,0.004835
18200,364,1400,52,0.000176615,0.000352571,0.004764
18200,364,1400,52,0.000200692,0.000311,0.004786
7160,468,716,52,0.7576526,0.231896667,9.663731
16952,364,1304,52,0.000151385,0.000364286,0.004518
19600,312,1400,52,0.000179429,0.000379,0.004786
18200,364,1400,52,0.000222846,0.000268714,0.004778
16800,364,1400,52,0.000241083,0.000228286,0.004536
16852,364,1296.307692,52,0.016553769,0.055523857,0.603866
18196,364,1399.692308,52,0.000181615,0.000298571,0.004451
19600,312,1400,52,0.000215643,0.000323667,0.004961
18200,364,1400,52,0.000232462,0.000282,0.004996
15524,364,1194.153846,52,0.016619231,0.010003,0.286071
18180,364,1398.461538,52,0.000246846,0.000194143,0.004568
18200,364,1400,52,0.000156846,0.000371,0.004636
18200,364,1400,52,0.000162923,0.000437714,0.005182
12744,416,1062,52,0.137838167,0.025451875,1.857673
12756,364,1063,52,1.10413125,0.034432571,13.49066
18200,364,1400,52,0.000217385,0.000244,0.004534
18200,364,1400,52,0.000222923,0.000279429,0.004854
19600,312,1400,52,0.000182929,0.000357833,0.004708
8680,468,789.0909091,52,0.289482727,0.000323111,3.187218
16852,364,1296.307692,52,0.262063769,0.492147429,6.851861
18180,364,1398.461538,52,0.000208615,0.000332,0.005036
18200,364,1400,52,0.000236462,0.000286571,0.00508
19600,312,1400,52,0.000176143,0.0003105,0.00508
5856,532,585.6,53.2,1.611882,1.0054566,26.173386
19600,312,1400,52,0.000301929,0.000199833,0.005426
16880,364,1298.461538,52,0.000218692,0.000189,0.004166
19600,312,1400,52,0.000199071,0.000360833,0.004952
18200,364,1400,52,0.000227769,0.000210714,0.004436
4824,492,438.5454545,54.66666667,0.670273636,0.606590111,12.832321
1660,496,150.9090909,55.11111111,3.670141182,0.769408111,47.296226
2333,735,179.4615385,105,3.873147769,1.051354,57.710399
1824,2396,182.4,239.6,2.4950565,4.5186617,70.137182
1182,641,118.2,64.1,5.0205738,3.4850297,85.056035
1080,0,54,0,0.18626495,0,3.725299
1120,0,56,0,1.34162985,0,26.832597
1308,112,72.66666667,56,2.736482667,0.1291545,49.514997
1630,1076,125.3846154,179.3333333,1.920484769,0.6198325,28.693083
605,565,60.5,56.5,5.0509084,5.5872811,106.381895
614,483,55.81818182,53.66666667,13.66482609,1.591593667,164.63743
826,299,55.06666667,59.8,4.0892242,3.7293468,79.985097
666,434,55.5,54.25,10.60122108,2.32946075,145.850339
631,597,57.36363636,66.33333333,10.59965909,3.117168556,144.650767
838,504,69.83333333,63,6.361316333,6.74210575,130.272642
752,494,62.66666667,61.75,6.73596875,2.417403375,100.170852
555,538,55.5,53.8,12.5173646,2.2065608,147.239254
666,431,55.5,53.875,12.51754408,3.129164375,175.243844
695,467,57.91666667,58.375,8.974165167,2.183049625,125.154379
