total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
2445,621,222.2727273,69,0.026909818,42.96524767,386.983237
11562,4157,1051.090909,461.8888889,0.012191091,13.37589489,120.517156
8841,513,803.7272727,57,0.000461727,10.606716,95.465523
15747,334,1124.785714,55.66666667,0.011220357,11.0531495,66.475982
15371,479,1280.916667,59.875,0.00067925,10.41668138,83.341602
18200,364,1400,52,0.000239385,0.000242714,0.004811
19600,312,1400,52,0.000203071,0.000347833,0.00493
18200,364,1400,52,0.000174462,0.000363571,0.004813
16800,364,1400,52,0.000247,0.000297,0.00509
17484,364,1344.923077,52,0.000331538,0.013282143,0.097285
16800,364,1400,52,0.000311583,0.000227571,0.005381
18200,364,1400,52,0.000334154,0.000243286,0.006047
241,,,,,,
