total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
604,423,60.4,42.3,0.6278833,0.8051764,14.330597
549,340,45.75,42.5,2.63028075,0.162460625,32.863054
521,412,47.36363636,45.77777778,1.568119091,0.415189222,20.986013
556,345,46.33333333,43.125,0.774183833,2.8205075,31.854266
447,432,44.7,43.2,0.9567922,2.3155305,32.723227
574,424,47.83333333,53,0.330387,1.794419125,18.319997
517,418,47,46.44444444,0.337598182,0.931010556,12.092675
592,435,53.81818182,48.33333333,0.845618909,0.917920667,17.563094
1923,916,160.25,114.5,2.152666333,0.320335875,28.394683
12674,4712,1267.4,471.2,0.0012323,0.0001614,0.013937
452,452,50.22222222,50.22222222,0.000397889,0.000397889,0.009505
