total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
826,10152,82.6,1015.2,0.12666,0.0217003,1.483603
468,14104,52,1282.181818,0.000463222,0.001868182,0.024719
520,13172,52,1317.2,0.0002183,0.0011614,0.013797
520,13092,52,1309.2,0.0003639,0.0013296,0.016935
624,9757,52,1219.625,0.003626333,0.00346975,0.071274
5787,1420,526.0909091,157.7777778,1.000515909,3.711587222,44.40996
1014,996,101.4,99.6,0.2021121,8.6185294,88.206415
1228,788,102.3333333,98.5,0.443867583,10.818956,91.878059
996,974,90.54545455,108.2222222,0.287269091,9.652376,90.031344
857,1075,85.7,107.5,0.1532421,7.9874633,81.407054
1263,772,105.25,96.5,0.234897667,6.35791525,53.682094
990,996,99,99.6,0.1322238,8.7539815,88.862053
1260,788,105,98.5,0.279665583,10.98897188,91.267762
988,976,98.8,97.6,0.1109985,7.0384344,71.494329
1008,902,91.63636364,100.2222222,0.169979364,8.465874667,78.062645
996,979,90.54545455,108.7777778,0.158102455,9.791487444,89.862514
1254,882,114,98,0.163565636,8.254633556,76.090924
1011,1142,101.1,114.2,0.0204721,8.8920615,89.125336
1275,897,115.9090909,99.66666667,0.130686909,8.191028222,75.15681
1064,6139,96.72727273,682.1111111,0.080817,3.018422667,28.054791
608,8715,55.27272727,968.3333333,0.000739455,0.000432222,0.012024
416,12915,52,1076.25,0.00079075,0.003094167,0.043456
312,15715,52,1122.5,0.001864167,0.003644071,0.062202
312,14420,52,1030,0.001584667,0.002784143,0.048486
364,14315,52,1101.153846,0.001120571,0.004044077,0.060417
312,15715,52,1122.5,0.001177667,0.002842357,0.046859
364,13020,52,1001.538462,0.001901286,0.003154385,0.054316
312,15715,52,1122.5,0.002144,0.003084786,0.056051
364,14315,52,1101.153846,0.002700429,0.002597538,0.052671
364,13020,52,1001.538462,0.002321143,0.002335846,0.046614
312,15715,52,1122.5,0.002924167,0.002739786,0.055902
364,14315,52,1101.153846,0.002100714,0.002587923,0.048348
364,13020,52,1001.538462,0.001599429,0.002908231,0.049003
312,15715,52,1122.5,0.001403833,0.003628214,0.059218
364,14315,52,1101.153846,0.001497,0.002933231,0.048611
