total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
6337,1427,528.0833333,178.375,0.005219333,0.00047,0.066392
7957,612,795.7,76.5,0.0449132,0.00063963,0.45829
12404,2020,1240.4,202,0.0002902,0.0154109,0.157011
0,19084,0,954.2,0,0.0010822,0.021644
576,12915,64,1174.090909,0.009919778,0.03356036,0.458442
1112,2391,65.41176471,797,0.000173706,0.00008533,0.003209
1190,172,74.375,57.33333333,0.016298563,0.00045533,0.262366
0,20518,0,1025.9,0,0.0000389,0.000778
416,12808,52,1067.333333,0.0003625,1.64167E-05,0.003097
1040,0,52,0,0.0005188,0,0.010376
1437,5621,119.75,702.625,0.001607583,0.000548875,0.023682
946,12462,135.1428571,958.6153846,0.000351857,8.94615E-05,0.003626
1465,5445,146.5,544.5,0.0014815,0.0002494,0.017309
1523,8065,169.2222222,733.1818182,0.000644222,0.000189273,0.00788
1469,1074,91.8125,268.5,0.002259563,0.000631,0.038677
5131,1502,513.1,150.2,0.0522765,0.005558,0.578345
8695,803,724.5833333,100.375,0.009309167,0.001839125,0.126423
4667,5613,583.375,467.75,0.00495125,0.00117475,0.053707
0,28000,0,1400,0,0.0000142,0.000284
0,28000,0,1400,0,0.0000171,0.000342
312,19435,52,1388.214286,0.000102833,2.52857E-05,0.000971
468,15400,52,1400,0.000213556,3.73636E-05,0.002333
800,21000,160,1400,0.0001056,5.74667E-05,0.00139
312,18828,52,1344.857143,0.000168667,3.39286E-05,0.001487
52,25275,52,1330.263158,0.000093,2.37368E-05,0.000544
0,28000,0,1400,0,0.0000094,0.000188
52,26435,52,1391.315789,0.000034,7.78947E-06,0.000182
260,21000,52,1400,0.0001882,0.0000418,0.001568
312,18200,52,1400,0.000375333,5.86154E-05,0.003068
364,17430,52,1340.769231,0.000133714,3.77692E-05,0.001427
0,28000,0,1400,0,0.00001085,0.000217
156,21993,52,1293.705882,5.16667E-05,1.46471E-05,0.000404
364,18200,52,1400,0.000236571,5.48462E-05,0.002369
312,19600,52,1400,0.000119,5.12857E-05,0.001432
364,18200,52,1400,0.000205571,6.23846E-05,0.00225
468,15400,52,1400,0.000210444,0.000052,0.002466
208,22400,52,1400,0.0001025,3.78125E-05,0.001015
364,18200,52,1400,0.000181571,8.76154E-05,0.00241
520,11964,52,1196.4,0.0002134,0.0000731,0.002865
416,15526,52,1293.833333,0.00022,0.00005975,0.002477
520,13732,52,1373.2,0.0001916,0.0001353,0.003269
936,1526,52,763,0.000272,0.0001655,0.005227
1040,0,52,0,0.00031775,0,0.006355
1040,0,52,0,0.0002896,0,0.005792
1040,0,52,0,0.00028325,0,0.005665
1040,0,52,0,0.0003008,0,0.006016
1040,0,52,0,0.00028695,0,0.005739
948,7000,63.2,1400,0.000202,0.0001942,0.004001
1288,2800,71.55555556,1400,0.000295611,0.000128,0.005577
1440,0,72,0,0.00030025,0,0.006005
1440,0,72,0,0.00029135,0,0.005827
1200,1400,63.15789474,1400,0.000262158,0.000108,0.005089
1132,0,56.6,0,0.0002627,0,0.005254
168,16523,56,971.9411765,0.000269667,0.006370118,0.109101
0,24290,0,1214.5,0,0.0000215,0.00043
520,9107,52,910.7,0.0001705,0.0000121,0.001826
1040,0,52,0,0.00021875,0,0.004375
896,828,52.70588235,276,0.000286412,0.008356667,0.029939
683,23130,341.5,1285,0.167521,0.000107778,0.336982
416,14210,52,1184.166667,0.000284125,0.000017,0.002477
1040,0,52,0,0.00028365,0,0.005673
700,20376,233.3333333,1198.588235,0.041032333,0.001865353,0.154808
0,28000,0,1400,0,0.00000955,0.000191
52,26435,52,1391.315789,0.000173,1.57368E-05,0.000472
52,26600,52,1400,0.000053,1.12105E-05,0.000266
0,28000,0,1400,0,0.0000165,0.00033
0,27836,0,1391.8,0,0.00001095,0.000219
970,18200,194,1400,0.0001942,4.82308E-05,0.001879
572,12600,52,1400,0.001494091,0.000153333,0.017815
1520,17956,190,1381.230769,0.000101,4.53846E-05,0.001171
416,15400,52,1400,0.00008175,4.84545E-05,0.001473
416,16800,52,1400,0.000163,0.0000015,0.001322
156,23800,52,1400,0.000161,5.29412E-05,0.001383
260,21000,52,1400,0.0005734,0.0001058,0.004454
832,5600,52,1400,0.00016475,0.0001615,0.003282
4977,3169,497.7,316.9,12.7402803,0.0046871,127.449674
11954,2688,1195.4,268.8,0.0003318,0.0001284,0.004602
1068,2526,118.6666667,229.6363636,6.672261222,21.82262882,300.099268
2555,2902,255.5,290.2,0.0732966,0.0289569,1.022535
1801,4577,200.1111111,416.0909091,0.020273222,0.383920455,4.405584
576,5456,64,496,0.000269111,0.001313545,0.016871
3510,1775,319.0909091,197.2222222,0.082564182,0.032196667,1.197976
2600,2274,288.8888889,206.7272727,1.425201778,0.048635182,13.361803
2113,3305,211.3,330.5,1.9576923,0.0331642,19.908565
1800,4310,150,538.75,1.97911825,0.004768,23.787563
7285,2578,728.5,257.8,0.0072972,0.0290701,0.363673
5650,2146,627.7777778,195.0909091,0.009052111,0.255140091,2.88801
1188,2172,108,241.3333333,0.000918818,0.001564444,0.024187
4273,1370,356.0833333,171.25,4.664248667,0.040674375,56.296379
900,772,75,96.5,8.369087167,0.016084375,100.557721
1050,588,75,98,9.997008071,0.0076055,140.003746
1248,836,104,119.4285714,100.280214,0.005408143,1203.407857
