total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
604,423,60.4,42.3,0.6278833,0.8051764,14.330597
549,340,45.75,42.5,2.63028075,0.162460625,32.863054
521,412,47.36363636,45.77777778,1.568119091,0.415189222,20.986013
556,345,46.33333333,43.125,0.774183833,2.8205075,31.854266
447,432,44.7,43.2,0.9567922,2.3155305,32.723227
574,424,47.83333333,53,0.330387,1.794419125,18.319997
517,418,47,46.44444444,0.337598182,0.931010556,12.092675
592,435,53.81818182,48.33333333,0.845618909,0.917920667,17.563094
1923,916,160.25,114.5,2.152666333,0.320335875,28.394683
12674,4712,1267.4,471.2,0.0012323,0.0001614,0.013937
452,452,50.22222222,50.22222222,0.000397889,0.000397889,0.009505
12784,368,1065.333333,46,0.001068083,0.000366375,0.015748
464,420,46.4,42,0.4963755,2.6102024,31.065779
486,527,48.6,52.7,0.5307111,2.7305077,32.612188
549,340,45.75,42.5,1.37366525,2.851924125,39.299376
504,385,45.81818182,42.77777778,0.393327545,3.127368889,32.472923
560,307,46.66666667,43.85714286,1.347795917,1.161245143,29.955233
474,425,47.4,42.5,1.5565769,2.4944899,40.510668
589,317,45.30769231,45.28571429,1.861570308,2.313324429,40.393685
531,411,48.27272727,45.66666667,1.367365455,1.029569333,24.307144
469,385,46.9,42.77777778,0.6075137,2.957443667,32.692963
611,305,47,43.57142857,2.790732308,1.709250571,48.244274
447,425,44.7,42.5,0.4051304,2.8595129,32.646433
8672,370,788.3636364,46.25,0.795775273,0.17183025,10.128547
16904,280,1300.307692,40,0.002118846,0.000533571,0.03128
494,385,44.90909091,42.77777778,0.253200455,3.152892444,31.161237
509,385,46.27272727,42.77777778,2.030481818,2.012164778,40.444783
584,380,48.66666667,47.5,0.904711417,2.573834875,31.447216
18272,240,1305.142857,40,0.036395643,0.000689667,0.513677
7376,323,614.6666667,46.14285714,1.214627667,0.597650714,18.75963
12877,252,919.7857143,42,0.1103275,0.008587333,1.596109
12789,325,1065.75,40.625,0.012644917,0.815204125,6.673372
509,385,46.27272727,42.77777778,0.991480364,3.281982222,40.444124
514,392,46.72727273,43.55555556,2.268802273,1.730107,40.527788
373,418,46.625,46.44444444,1.023252625,1.597824333,32.499242
9973,4176,997.3,417.6,0.1210324,0.0072081,1.282405
11286,1568,1128.6,156.8,0.0108419,0.0004051,0.11247
12725,368,1060.416667,46,0.002174083,0.000471625,0.029862
4618,375,419.8181818,41.66666667,1.135488182,1.166562222,22.98943
474,425,47.4,42.5,0.6585679,3.4096893,40.682572
520,436,47.27272727,48.44444444,0.676106909,1.133404556,17.637817
469,425,46.9,42.5,1.8039247,2.2452726,40.491973
514,397,46.72727273,44.11111111,1.575110182,2.564276778,40.404703
4562,460,456.2,46,0.3547376,2.6750203,30.297579
16872,280,1297.846154,40,0.002590769,0.000374,0.036298
4638,375,421.6363636,41.66666667,0.471202545,1.977509889,22.980817
520,415,47.27272727,46.11111111,0.290143727,2.105494889,22.141035
407,566,45.22222222,51.45454545,0.883423667,2.125143636,31.327393
579,347,48.25,43.375,0.408606333,1.299145625,15.296441
561,347,46.75,43.375,0.705417,2.50517425,28.506398
529,424,48.09090909,47.11111111,0.349791909,2.01566,21.988651
442,415,44.2,41.5,0.3843969,1.953759,23.381559
10089,398,840.75,49.75,0.151534417,0.600073,6.618997
7344,330,612,41.25,0.305987917,1.43025625,15.113905
442,441,44.2,49,1.0502016,2.444317889,32.505294
582,342,48.5,42.75,0.896522917,1.227278375,20.576502
559,444,50.81818182,49.33333333,0.629939091,1.482922556,20.275633
16912,240,1208,40,0.010454286,0.000471167,0.149187
514,380,46.72727273,42.22222222,0.564592364,2.802134778,31.429729
1902,427,172.9090909,47.44444444,0.196882364,1.972188444,19.915402
15616,240,1115.428571,40,0.001663,0.000615167,0.026973
424,477,47.11111111,43.36363636,0.796911889,2.901721,39.091138
527,428,47.90909091,47.55555556,0.304932091,1.780674222,19.380321
16912,240,1208,40,0.029941214,0.000561333,0.422545
490,383,49,42.55555556,4.9714792,0.709038667,56.100564
1878,957,170.7272727,106.3333333,0.747293182,2.118064222,27.282803
12674,4712,1267.4,471.2,0.0010817,0.00014,0.012217
11326,444,1029.636364,49.33333333,0.001054455,0.000265,0.013984
4539,477,453.9,47.7,0.3307535,0.3713376,7.020911
492,392,44.72727273,43.55555556,1.325905091,2.026035778,32.819278
580,452,52.72727273,50.22222222,0.375975455,0.405636667,7.78646
527,433,47.90909091,48.11111111,0.127961273,1.465372556,14.595927
518,488,51.8,48.8,0.2271266,0.8433118,10.704384
513,421,46.63636364,46.77777778,0.687467818,0.529674,12.329212
549,340,45.75,42.5,1.547604417,2.61769375,39.512803
