total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
1338,3769,148.6666667,418.7777778,0.015766,0.037854,0.596236
2781,1671,309,151.9090909,0.007215,0.021438273,0.300753
1567,1125,195.875,93.75,2.593616,0.034014333,21.157102
2065,602,206.5,66.88888889,0.019814,0.004838333,0.293994
2986,520,298.6,52,0.003246,0.0006183,0.038639
2798,1986,559.6,132.4,0.015186,0.005378867,0.156615
2853,1342,407.5714286,111.8333333,0.004111,0.002159417,0.119335
1796,974,199.5555556,88.54545455,0.021278,0.015513364,0.362146
2036,1041,226.2222222,94.63636364,0.014209,0.009590273,0.233374
1184,1093,148,91.08333333,0.077522,0.014618083,0.795596
19600,312,1400,52,0.000438,0.000223833,0.007481
19600,312,1400,52,0.000113,0.000211333,0.002849
16800,416,1400,52,0.000271,0.000250625,0.00526
21000,260,1400,52,0.000122,0.00231,0.00231
18200,364,1400,52,0.000267,0.000229,0.005072
19600,312,1400,52,0.000158,0.0001345,0.003025
16800,416,1400,52,0.000124,0.000134625,0.00257
19600,312,1400,52,0.000100,0.00012,0.002126
18200,312,1400,52,0.000178,0.000162,0.003368
18200,364,1400,52,0.000125,0.000211714,0.003111
21000,260,1400,52,0.000121,0.0001416,0.002521
18200,364,1400,52,0.000091,0.000147571,0.002211
18200,364,1400,52,0.000129,0.00018,0.002932
19600,312,1400,52,0.000093,0.000139667,0.002144
18200,364,1400,52,0.000139,0.000101857,0.002517
16800,364,1400,52,0.000418,0.000220571,0.006589
18200,364,1400,52,0.000816,0.000856714,0.016609
21000,260,1400,52,0.000056,0.0001496,0.001587
5374,654,597.1111111,65.4,0.015354,0.023884,0.793215
1902,1617,237.75,134.75,0.161324,0.028680083,1.634756
2088,922,208.8,92.2,0.502505,0.0485692,5.510743
1747,855,174.7,85.5,1.811875,0.0450097,18.568849
1345,855,134.5,85.5,0.750307,0.0464091,7.967163
1025,653,102.5,65.3,25.919710,12.0291471,379.488571
2419,4186,268.7777778,380.5454545,0.041541,0.042222909,0.838322
6860,1318,762.2222222,119.8181818,0.019397,0.020134545,0.396052
989,2616,164.8333333,186.8571429,0.080633,0.010938429,0.636936
1215,860,121.5,86,10.065422,0.0469063,101.12328
1589,860,158.9,86,0.071415,0.0576619,1.290768
1614,860,161.4,86,0.048999,0.0576762,1.066747
1639,860,163.9,86,0.064626,0.0340103,0.986367
1895,792,189.5,79.2,0.032678,0.0463268,0.790049
1458,928,145.8,92.8,0.047416,0.055569,1.029849
1714,860,171.4,86,0.187834,0.0577943,2.456282
1252,822,139.1111111,74.72727273,6.841962,0.041854,62.038049
1217,3757,110.6363636,417.4444444,3.064854,0.039054667,34.064883
2298,1820,255.3333333,165.4545455,7.590469,0.043089182,68.788203
1028,3864,114.2222222,351.2727273,6.086610,0.035679909,55.171972
2995,1863,332.7777778,169.3636364,0.015072,0.042623455,0.604502
1875,792,187.5,79.2,3.570179,0.02908,35.992589
1795,928,179.5,92.8,0.285265,0.0378509,3.231163
2057,1963,228.5555556,196.3,4.314500,0.0471139,39.314757
1964,2271,196.4,227.1,0.181284,0.0235935,2.048776
2154,980,239.3333333,89.09090909,12.021741,0.085423909,109.135335
2270,975,227,97.5,0.131224,1.55829,1.55829
2040,860,204,86,3.346793,0.0350576,33.81851
2648,740,240.7272727,82.22222222,1.347818,0.012898333,14.942087
1452,996,145.2,99.6,0.013731,0.0122205,0.259513
2295,1392,459,92.8,0.012347,0.015879267,0.299922
2090,844,232.2222222,76.72727273,0.013231,0.011104909,0.241232
1423,1408,284.6,100.5714286,0.127665,0.025620286,0.998865
1641,860,164.1,86,4.060108,0.0475922,41.076997
1908,912,212,82.90909091,13.096996,0.032658091,118.232202
2175,1220,310.7142857,93.84615385,0.027279,0.018778077,0.435065
1977,1152,282.4285714,88.61538462,0.029776,0.018739846,0.452048
1963,1084,280.4285714,83.38461538,0.017568,0.017978615,0.356699
1567,1100,195.875,91.66666667,0.073538,0.030069667,0.949139
1625,860,162.5,86,5.902242,0.0590767,59.613187
1937,860,193.7,86,6.068196,0.0355086,61.037045
2227,860,222.7,86,0.206149,0.0237078,2.298564
2028,860,202.8,86,12.344468,0.0688068,124.132743
3011,724,301.1,72.4,0.026888,0.0038576,0.307453
932,1184,103.5555556,107.6363636,0.006000,0.004229091,0.100518
4098,1504,455.3333333,136.7272727,0.026160,0.011338636,0.360161
1047,1340,174.5,95.71428571,0.015656,0.008912643,0.218713
