total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
826,10152,82.6,1015.2,0.12666,0.0217003,1.483603
468,14104,52,1282.181818,0.000463222,0.001868182,0.024719
520,13172,52,1317.2,0.0002183,0.0011614,0.013797
520,13092,52,1309.2,0.0003639,0.0013296,0.016935
624,9757,52,1219.625,0.003626333,0.00346975,0.071274
5787,1420,526.0909091,157.7777778,1.000515909,3.711587222,44.40996
1014,996,101.4,99.6,0.2021121,8.6185294,88.206415
1228,788,102.3333333,98.5,0.443867583,10.818956,91.878059
996,974,90.54545455,108.2222222,0.287269091,9.652376,90.031344
857,1075,85.7,107.5,0.1532421,7.9874633,81.407054
1263,772,105.25,96.5,0.234897667,6.35791525,53.682094
990,996,99,99.6,0.1322238,8.7539815,88.862053
1260,788,105,98.5,0.279665583,10.98897188,91.267762
988,976,98.8,97.6,0.1109985,7.0384344,71.494329
1008,902,91.63636364,100.2222222,0.169979364,8.465874667,78.062645
996,979,90.54545455,108.7777778,0.158102455,9.791487444,89.862514
1254,882,114,98,0.163565636,8.254633556,76.090924
1011,1142,101.1,114.2,0.0204721,8.8920615,89.125336
1275,897,115.9090909,99.66666667,0.130686909,8.191028222,75.15681
1064,6139,96.72727273,682.1111111,0.080817,3.018422667,28.054791
608,8715,55.27272727,968.3333333,0.000739455,0.000432222,0.012024
416,12915,52,1076.25,0.00079075,0.003094167,0.043456
312,15715,52,1122.5,0.001864167,0.003644071,0.062202
312,14420,52,1030,0.001584667,0.002784143,0.048486
364,14315,52,1101.153846,0.001120571,0.004044077,0.060417
312,15715,52,1122.5,0.001177667,0.002842357,0.046859
364,13020,52,1001.538462,0.001901286,0.003154385,0.054316
312,15715,52,1122.5,0.002144,0.003084786,0.056051
364,14315,52,1101.153846,0.002700429,0.002597538,0.052671
364,13020,52,1001.538462,0.002321143,0.002335846,0.046614
312,15715,52,1122.5,0.002924167,0.002739786,0.055902
364,14315,52,1101.153846,0.002100714,0.002587923,0.048348
364,13020,52,1001.538462,0.001599429,0.002908231,0.049003
312,15715,52,1122.5,0.001403833,0.003628214,0.059218
364,14315,52,1101.153846,0.001497,0.002933231,0.048611
364,13020,52,1001.538462,0.001539571,0.002925769,0.048812
15715,15715,1122.5,1122.5,0.003536429,0.003536429,0.058592
766,4237,85.11111111,385.1818182,0.888631556,2.110949182,31.218125
1228,788,102.3333333,98.5,0.120679583,11.14400463,90.600192
1062,1011,106.2,101.1,0.0467927,8.9275389,89.743316
1228,788,102.3333333,98.5,0.055113833,11.206878,90.31639
1294,897,117.6363636,99.66666667,0.824873636,8.995013222,90.028729
1080,912,90,114,2.490228167,105.248529,105.248529
1048,850,87.33333333,106.25,2.4790745,9.433771,105.219062
1294,897,117.6363636,99.66666667,2.630769636,5.135479556,75.157782
996,902,90.54545455,100.2222222,2.650070455,8.452001222,105.218786
11372,4308,1033.818182,478.6666667,0.008387182,0.360653111,3.338137
16859,1884,1296.846154,314,0.000267308,0.0000985,0.004166
6417,654,583.3636364,72.66666667,1.009899273,1.734581556,26.720126
1305,976,118.6363636,108.4444444,2.616980909,5.096328444,74.653746
732,1266,73.2,126.6,1.288615,6.6868396,79.754546
1305,840,118.6363636,93.33333333,2.181283455,6.901020778,86.103305
1228,788,102.3333333,98.5,3.49053675,7.771528125,104.058666
1028,840,93.45454545,93.33333333,2.512567818,6.959213111,90.271164
1040,973,104,108.1111111,2.7263012,6.958272222,89.888707
1028,840,93.45454545,93.33333333,2.485776455,7.005427556,90.392389
996,984,90.54545455,109.3333333,2.466362818,6.989017,90.031144
996,976,90.54545455,108.4444444,2.464541,6.989515778,90.015593
1277,959,116.0909091,106.5555556,2.417429818,7.027518,89.83939
1028,840,93.45454545,93.33333333,90.238448,7.115695778,90.238448
996,976,90.54545455,108.4444444,2.353422545,7.127103,90.031575
1040,1145,104,114.5,1.2887131,6.4206516,77.093647
1228,788,102.3333333,98.5,3.137792917,8.140542125,102.777852
1028,840,93.45454545,93.33333333,2.272796727,7.253093,90.278601
996,902,90.54545455,100.2222222,2.270013636,7.486191444,92.345873
950,6216,86.36363636,690.6666667,0.024406,3.273078778,29.726175
416,12915,52,1076.25,0.00074825,0.000337583,0.010037
312,15715,52,1122.5,0.001034333,0.000356571,0.011198
312,14420,52,1030,0.000980667,0.000331286,0.010522
416,12862,52,1071.833333,0.001092875,0.00054225,0.013465
312,15715,52,1122.5,0.001011333,0.000387714,0.011496
312,14420,52,1030,0.000966,0.000308,0.010108
416,12915,52,1076.25,0.001479875,0.000473,0.017515
312,15715,52,1122.5,0.001565667,0.000498786,0.016377
364,14315,52,1101.153846,0.001513,0.000451615,0.016462
