No.,Time,Source,Destination,Protocol,Length,Type,Duration
67342,448.5052 ,10.8.0.249,35.201.97.85,TCP,60,out,0.000000 
67343,448.5060 ,35.201.97.85,10.8.0.249,TCP,60,in,0.000748 
67344,448.5079 ,10.8.0.249,35.201.97.85,TCP,52,out,0.001976 
67345,448.5116 ,10.8.0.249,35.201.97.85,TLSv1.2,569,out,0.003685 
67346,448.5123 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000640 
67347,448.7282 ,35.201.97.85,10.8.0.249,TLSv1.2,1401,in,0.215953 
67348,448.7282 ,35.201.97.85,10.8.0.249,TLSv1.2,1401,in,0.000024 
67349,448.7283 ,35.201.97.85,10.8.0.249,TLSv1.2,328,in,0.000005 
67350,448.7369 ,35.201.97.85,10.8.0.249,TCP,328,in,0.008665 
67351,448.8232 ,10.8.0.249,35.201.97.85,TCP,52,out,0.086281 
67352,448.8233 ,10.8.0.249,35.201.97.85,TCP,52,out,0.000065 
67353,448.8233 ,10.8.0.249,35.201.97.85,TCP,52,out,0.000023 
67354,448.8238 ,10.8.0.249,35.201.97.85,TCP,64,out,0.000501 
67355,448.8586 ,10.8.0.249,35.201.97.85,TLSv1.2,137,out,0.034770 
67356,448.8592 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000645 
67357,448.9726 ,35.201.97.85,10.8.0.249,TLSv1.2,95,in,0.113384 
67358,448.9770 ,10.8.0.249,35.201.97.85,TCP,52,out,0.004408 
67359,448.9872 ,10.8.0.249,35.201.97.85,TLSv1.2,308,out,0.010184 
67360,448.9878 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000622 
67361,449.1015 ,35.201.97.85,10.8.0.249,TLSv1.2,327,in,0.113657 
67362,449.1015 ,35.201.97.85,10.8.0.249,TLSv1.2,209,in,0.000066 
67363,449.1235 ,10.8.0.249,35.201.97.85,TCP,52,out,0.021963 
67364,449.1360 ,10.8.0.249,35.201.97.85,TLSv1.2,143,out,0.012483 
67365,449.1366 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000591 
67366,449.1391 ,10.8.0.249,35.201.97.85,TLSv1.2,1095,out,0.002512 
67367,449.1397 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000636 
67368,449.2498 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.110074 
67369,449.2532 ,35.201.97.85,10.8.0.249,TLSv1.2,730,in,0.003390 
67370,449.2562 ,10.8.0.249,35.201.97.85,TCP,52,out,0.003012 
67371,449.2596 ,10.8.0.249,35.201.97.85,TLSv1.2,465,out,0.003418 
67372,449.2602 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000580 
67373,449.2623 ,10.8.0.249,35.201.97.85,TLSv1.2,509,out,0.002097 
67374,449.2629 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000611 
67375,449.3758 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.112943 
67376,449.3806 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.004778 
67377,449.3822 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.001551 
67378,449.3879 ,10.8.0.249,35.201.97.85,TCP,52,out,0.005753 
67379,449.3958 ,10.8.0.249,35.201.97.85,TLSv1.2,235,out,0.007882 
67380,449.3964 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000601 
67381,449.4022 ,10.8.0.249,35.201.97.85,TLSv1.2,178,out,0.005812 
67382,449.4028 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000540 
67383,449.5126 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.109824 
67384,449.5162 ,35.201.97.85,10.8.0.249,TLSv1.2,222,in,0.003670 
67385,449.5192 ,10.8.0.249,35.201.97.85,TCP,52,out,0.002943 
67386,449.5294 ,10.8.0.249,35.201.97.85,TLSv1.2,171,out,0.010250 
67387,449.5300 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000609 
67388,449.5351 ,10.8.0.249,35.201.97.85,TLSv1.2,458,out,0.005010 
67389,449.5357 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000620 
67390,449.6433 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.107658 
67391,449.6504 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.007092 
67392,449.6541 ,10.8.0.249,35.201.97.85,TCP,52,out,0.003670 
67430,469.7337 ,10.8.0.249,35.201.97.85,TLSv1.2,246,out,20.079594 
67431,469.7344 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000687 
67432,469.8495 ,35.201.97.85,10.8.0.249,TLSv1.2,118,in,0.115119 
67433,469.9364 ,10.8.0.249,35.201.97.85,TCP,52,out,0.086946 
67434,470.4434 ,10.8.0.249,35.201.97.85,TLSv1.2,268,out,0.506971 
67435,470.4441 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000650 
67436,470.4976 ,10.8.0.249,35.201.97.85,TLSv1.2,268,out,0.053546 
67437,470.4982 ,35.201.97.85,10.8.0.249,TCP,52,in,0.000624 
