Source,Destination,Protocol,Length,Type,Duration
33952,443,TCP,60,out,0
443,33952,TCP,60,in,0.000884
33952,443,TCP,52,out,0.001839
33952,443,TLSv1.3,452,out,0.001
443,33952,TCP,52,in,0.000723
443,33952,TLSv1.3,268,in,0.000592
443,33952,TLSv1.3,126,in,0.000017
33952,443,TCP,52,out,0.00096
33952,443,TCP,52,out,0.000055
33952,443,TLSv1.3,142,out,0.000649
443,33952,TLSv1.3,217,in,0.000778
33952,443,TCP,52,out,0.040171
33952,443,TCP,1401,out,0.017435
443,33952,ICMP,576,in,0.000038
33952,443,TLSv1.3,1295,out,0.000025
33952,443,TLSv1.3,83,out,0.000327
443,33952,TCP,64,in,0.000404
443,33952,TCP,64,in,0.000324
33952,443,TCP,1400,out,0.000119
33952,443,TCP,1296,out,0.000052
443,33952,TCP,64,in,0.000687
443,33952,TCP,52,in,0.000015
443,33952,TLSv1.3,96,in,0.000405
33952,443,TCP,52,out,0.000773
33952,443,TLSv1.3,1045,out,0.068037
443,33952,TLSv1.3,87,in,0.001044
33952,443,TCP,52,out,0.003127
33952,443,TLSv1.3,370,out,0.329657
443,33952,TLSv1.3,87,in,0.001038
33952,443,TCP,52,out,0.001629
33952,443,TCP,1400,out,0.041149
33952,443,TLSv1.3,696,out,0.000059
443,33952,TCP,52,in,0.000734
443,33952,TLSv1.3,87,in,0.000247
33952,443,TCP,52,out,0.000914
33952,443,TLSv1.3,142,out,0.005925
443,33952,TLSv1.3,87,in,0.000947
33952,443,TCP,1400,out,0.001654
33952,443,TLSv1.3,1400,out,0.000061
33952,443,TCP,1400,out,0.000188
33952,443,TCP,1400,out,0.000474
443,33952,TCP,52,in,0.000045
33952,443,TLSv1.3,857,out,0.000372
33952,443,TCP,1400,out,0.000209
443,33952,TCP,52,in,0.000046
33952,443,TLSv1.3,1400,out,0.000421
33952,443,TCP,1400,out,0.000058
443,33952,TCP,52,in,0.000173
33952,443,TCP,1400,out,0.000363
443,33952,TCP,52,in,0.000203
33952,443,TLSv1.3,857,out,0.000355
33952,443,TCP,1400,out,0.000058
33952,443,TLSv1.3,1400,out,0.000127
33952,443,TLSv1.3,890,out,0.000465
443,33952,TCP,52,in,0.000136
443,33952,TCP,52,in,0.000083
443,33952,TCP,52,in,0.041105
443,33952,TLSv1.3,203,in,0.111536
443,33952,TCP,1400,in,0.00075
443,33952,TCP,53,in,0.000032
443,33952,TCP,1400,in,0.002415
443,33952,TCP,1400,in,0.000009
443,33952,TLSv1.3,63,in,0.000002
443,33952,TLSv1.3,75,in,0.000008
443,33952,TLSv1.3,797,in,0.000004
443,33952,TLSv1.3,783,in,0.018948
443,33952,TLSv1.3,75,in,0.000019
443,33952,TCP,1400,in,0.000004
443,33952,TLSv1.3,1400,in,0.000044
443,33952,TLSv1.3,1400,in,0.000002
443,33952,TLSv1.3,487,in,0.000002
443,33952,TCP,1400,in,0.000011
443,33952,TLSv1.3,1400,in,0.000002
443,33952,TCP,1400,in,0.00002
443,33952,TLSv1.3,125,in,0.000002
443,33952,TCP,1400,in,0.000009
443,33952,TLSv1.3,1400,in,0.000002
443,33952,TLSv1.3,1153,in,0.00013
443,33952,TCP,1400,in,0.00001
443,33952,TLSv1.3,126,in,0.000001
443,33952,TCP,1400,in,0.034041
443,33952,TCP,1400,in,0.111031
443,33952,TCP,1400,in,0.224033
33952,443,TCP,64,out,0.088505
33952,443,TCP,64,out,0.000358
33952,443,TCP,64,out,0.000247
33952,443,TCP,64,out,0.000055
33952,443,TCP,64,out,0.000032
33952,443,TCP,64,out,0.00003
33952,443,TCP,64,out,0.000029
443,33952,TCP,1400,in,0.000024
443,33952,TCP,1400,in,0.000004
33952,443,TCP,64,out,0
443,33952,TLSv1.3,64,in,0.000001
443,33952,TLSv1.3,1400,in,0.000005
33952,443,TCP,64,out,0.000022
443,33952,TLSv1.3,1400,in,0.000019
443,33952,TCP,1400,in,0.000002
443,33952,TLSv1.3,1400,in,0.000002
443,33952,TLSv1.3,251,in,0.000002
33952,443,TCP,64,out,0.000004
443,33952,TCP,1400,in,0.000003
443,33952,TLSv1.3,126,in,0.000002
33952,443,TCP,64,out,0.000082
33952,443,TCP,64,out,0.000132
33952,443,TCP,64,out,0.000033
33952,443,TCP,64,out,0.000029
443,33952,TLSv1.3,865,in,0.000251
33952,443,TCP,64,out,0.000296
33952,443,TCP,64,out,0.000939
33952,443,TCP,64,out,0.000276
33952,443,TCP,64,out,0.000281
33952,443,TCP,64,out,0.000049
33952,443,TCP,64,out,0.000249
33952,443,TCP,64,out,0.000048
33952,443,TCP,64,out,0.000043
33952,443,TCP,64,out,0.000068
33952,443,TCP,72,out,0.000156
33952,443,TCP,72,out,0.000222
33952,443,TCP,72,out,0.000046
33952,443,TCP,64,out,0.000037
33952,443,TCP,64,out,0.000034
33952,443,TCP,64,out,0.000181
33952,443,TCP,64,out,0.000042
33952,443,TCP,64,out,0.00015
33952,443,TCP,64,out,0.000041
33952,443,TCP,64,out,0.000147
33952,443,TCP,64,out,0.00011
33952,443,TCP,64,out,0.000407
33952,443,TCP,64,out,0.000232
33952,443,TCP,52,out,0.000058
33952,443,TCP,60,out,0.256652
443,33952,TCP,60,in,0.000718
33952,443,TCP,52,out,0.000935
33952,443,TCP,60,out,0.000052
33952,443,TLSv1.3,274,out,0.000593
443,33952,TCP,60,in,0.000201
443,33952,TCP,52,in,0.000447
33952,443,TCP,52,out,0.001106
443,33952,TLSv1.3,1400,in,0.000223
443,33952,TLSv1.3,1400,in,0.000087
