Source,Destination,Protocol,Length,Type,Duration
47782,8000,TCP,60,out,0
47782,8000,TCP,60,out,1.14341
47782,8000,TCP,60,out,2.117275
47782,8000,TCP,60,out,4.010458
8000,47782,TCP,60,in,0.000574
47782,8000,TCP,52,out,0.001123
47782,8000,HTTP,320,out,0.000243
47782,8000,TCP,320,out,0.197517
8000,47782,TCP,64,in,0.000478
8000,47782,HTTP,363,in,2.999811
47782,8000,TCP,52,out,0.001262
47782,8000,HTTP,345,out,0.005525
47782,8000,TCP,60,out,0.000548
8000,47782,TCP,60,in,0.000424
47782,8000,TCP,52,out,0.001047
47782,8000,HTTP,379,out,0.001437
8000,47782,HTTP,265,in,0.006323
47782,8000,HTTP,345,out,0.002776
8000,47782,HTTP,181,in,0.005431
47782,8000,TCP,52,out,0.001228
47782,8000,WebSocket,64,out,0.001466
8000,47782,WebSocket,60,in,0.005095
47782,8000,TCP,52,out,0.039398
8000,47782,HTTP,264,in,0.061906
47782,8000,WebSocket,59,out,0.00229
47782,8000,TCP,52,out,0.036089
8000,47782,TCP,52,in,0.174941
47782,8000,WebSocket,59,out,0.001131
8000,47782,TCP,64,in,0.000407
47782,8000,WebSocket,59,out,24.698167
8000,47782,TCP,52,in,0.210592
8000,47782,WebSocket,55,in,22.446358
47782,8000,TCP,52,out,0.001414
47782,8000,WebSocket,59,out,25.054432
8000,47782,TCP,52,in,0.201826
8000,47782,WebSocket,55,in,6.431568
47782,8000,TCP,52,out,0.00157
8000,47782,WebSocket,103,in,16.044348
47782,8000,TCP,52,out,0.001534
47782,8000,WebSocket,144,out,0.00562
8000,47782,TCP,52,in,0.207132
47782,8000,WebSocket,59,out,8.763895
8000,47782,TCP,52,in,0.231401
8000,47782,TCP,52,in,15.485359
47782,8000,TCP,52,out,0.039926
8000,47782,WebSocket,55,in,9.900786
47782,8000,TCP,52,out,0.038977
47782,8000,WebSocket,59,out,25.004649
8000,47782,TCP,52,in,0.199096
8000,47782,WebSocket,55,in,15.140201
47782,8000,TCP,52,out,0.001379
47782,8000,WebSocket,59,out,25.041835
8000,47782,WebSocket,55,in,0.001047
47782,8000,TCP,52,out,0.001477
47782,8000,WebSocket,59,out,25.046553
8000,47782,TCP,52,in,0.197653
8000,47782,WebSocket,55,in,1.610066
47782,8000,TCP,52,out,0.001507
47782,8000,WebSocket,59,out,25.041434
8000,47782,TCP,52,in,0.198788
8000,47782,WebSocket,55,in,2.472015
47782,8000,TCP,52,out,0.001389
47782,8000,WebSocket,59,out,25.042054
8000,47782,TCP,52,in,0.289623
47782,8000,TCP,52,out,24.766235
47782,8000,TCP,52,out,0.249752
47782,8000,TCP,52,out,0.25182
47782,8000,TCP,52,out,0.504217
47782,8000,TCP,52,out,1.00789
47782,8000,TCP,52,out,2.020122
47782,8000,TCP,52,out,4.039919
47782,8000,TCP,52,out,8.124031
8000,47782,WebSocket,55,in,1.292218
47782,8000,TCP,52,out,0.001504
47782,8000,TCP,52,out,14.858681
47782,8000,WebSocket,59,out,10.183189
8000,47782,TCP,52,in,0.212042
8000,47782,WebSocket,55,in,1.288697
47782,8000,TCP,52,out,0.001536
8000,47782,WebSocket,109,in,13.835334
47782,8000,TCP,52,out,0.001607
47782,8000,TCP,1401,out,0.003519
10.8.0.1,47782,ICMP,576,in,0.000034
47782,8000,TCP,1401,out,0.000029
10.8.0.1,47782,ICMP,576,in,0.000017
47782,8000,WebSocket,78,out,0.000868
47782,8000,TCP,1400,out,0.000341
47782,8000,TCP,1400,out,0.00006
8000,47782,TCP,64,in,0
8000,47782,TCP,64,in,0.000553
8000,47782,TCP,64,in,0.000017
47782,8000,TCP,54,out,0.000052
8000,47782,TCP,52,in,0.000334
47782,8000,TCP,52,out,6.852019
47782,8000,WebSocket,59,out,4.346528
8000,47782,TCP,52,in,0.199974
8000,47782,WebSocket,56,in,59.758226
47782,8000,TCP,52,out,0.040196
47782,8000,TCP,52,out,0.043793
8000,47782,TCP,52,in,0.000374
47782,8000,TCP,60,out,1.310256
8000,47782,TCP,60,in,0.000622
47782,8000,TCP,52,out,0.001321
47782,8000,HTTP,320,out,0.000332
47782,8000,TCP,320,out,0.203655
8000,47782,TCP,64,in,0.000514
